gene,function,category,functional_group
SAOUHSC_01475,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01476,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01477,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01478,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01479,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01480,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01481,3-phosphoshikimate 1-carboxyvinyltransferase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_01482,3-dehydroquinate synthase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_01483,chorismate synthase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_01484,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01485,nucleoside diphosphate kinase,,Unknown/Hypothetical
SAOUHSC_01486,heptaprenyl diphosphate syntase component II,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01487,ubiquinone/menaquinone biosynthesis methyltransferase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01488,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01489,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01490,DNA-binding protein HU,DNA metabolism,DNA metabolism
SAOUHSC_01491,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,,Unknown/Hypothetical
SAOUHSC_01492,GTP-binding protein EngA,Protein synthesis,Translation
SAOUHSC_01493,30S ribosomal protein S1,Protein synthesis,Translation
SAOUHSC_A01436,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01494,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01495,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01496,cytidylate kinase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01497,L-asparaginase,Energy metabolism,Virulence
SAOUHSC_01499,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01500,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01501,elastin binding protein,,Unknown/Hypothetical
SAOUHSC_01502,ATP-dependent DNA helicase RecQ,DNA metabolism,DNA metabolism
SAOUHSC_01503,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01504,ferredoxin,Central intermediary metabolism,Central metabolism
SAOUHSC_01505,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_01507,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01508,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_01510,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01511,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01512,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_01513,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01514,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_A01455,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01515,petidoglycan hydrolase,Cell envelope; Cellular processes,Cell envelope
SAOUHSC_01516,holin protein,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_01517,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_01518,hypothetical protein,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_01519,SLT orf 129-like protein,,Unknown/Hypothetical
SAOUHSC_01520,SLT orf 488-like protein,,Unknown/Hypothetical
SAOUHSC_01521,SLT orf 636-like protein,,Unknown/Hypothetical
SAOUHSC_01522,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01523,SLT orf 527-like protein,,Unknown/Hypothetical
SAOUHSC_01524,holin-like protein,,Unknown/Hypothetical
SAOUHSC_01525,phage tail tape meausure protein,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_01526,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01527,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01528,bacteriophage L54aIg-like domain-containing protein,,Unknown/Hypothetical
SAOUHSC_01529,major tail protein,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_01530,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01531,SLT orf 123-like protein,,Unknown/Hypothetical
SAOUHSC_01532,SLT orf 110-like protein,,Unknown/Hypothetical
SAOUHSC_01533,hypothetical protein,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_01535,hypothetical protein,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_01536,scaffolding protease,Protein fate,Virulence
SAOUHSC_01537,HK97 family phage portal protein,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_01538,phage terminase large subunit,,Unknown/Hypothetical
SAOUHSC_01539,terminase small subunit,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_01540,bacteriophage L54a HNH endonuclease family protein,,Unknown/Hypothetical
SAOUHSC_01541,hypothetical protein,Mobile and extrachromosomal element functions; Regulatory functions,Mobile elements
SAOUHSC_01542,SNF2 family protein,,Unknown/Hypothetical
SAOUHSC_01543,phi-like protein,,Unknown/Hypothetical
SAOUHSC_01544,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01545,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01546,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01547,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01548,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01549,transcriptional activator rinB-like protein,,Unknown/Hypothetical
SAOUHSC_01550,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01551,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01552,bacteriophage L54a deoxyuridine 5-triphosphate nucleotidohydrolase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01553,PVL orf 52-like protein,,Unknown/Hypothetical
SAOUHSC_01554,PV83 orf 27-like protein,,Unknown/Hypothetical
SAOUHSC_01555,hypothetical protein,Hypothetical proteins; Mobile and extrachromosomal element functions,Unknown/Hypothetical
SAOUHSC_01556,PVL orf 52-like protein,,Unknown/Hypothetical
SAOUHSC_01557,hypothetical protein,Cell envelope,Cell envelope
SAOUHSC_01558,PVL orf 51-like protein,,Unknown/Hypothetical
SAOUHSC_01559,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01560,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01561,PVL orf 50-like protein,,Unknown/Hypothetical
SAOUHSC_01562,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01563,phage encoded DNA polymerase I,DNA metabolism,DNA metabolism
SAOUHSC_01565,hypothetical protein,Protein fate; Signal transduction,Protein fate
SAOUHSC_01566,phi APSE P51-like protein,,Unknown/Hypothetical
SAOUHSC_01567,hypothetical protein,Cell envelope,Cell envelope
SAOUHSC_01568,hypothetical protein,Protein synthesis,Translation
SAOUHSC_01569,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01570,PVL orf 37-like protein,,Unknown/Hypothetical
SAOUHSC_01571,SLT orf 71-like protein,,Unknown/Hypothetical
SAOUHSC_01572,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01573,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01574,helix-turn-helix domain-containing protein,Regulatory functions,Regulatory
SAOUHSC_A01514,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01575,helix-turn-helix domain-containing protein,DNA metabolism; Regulatory functions,DNA metabolism
SAOUHSC_01576,exonuclease family protein,DNA metabolism,DNA metabolism
SAOUHSC_01577,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01578,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01579,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01580,phi PVL ORF 30-like protein,,Unknown/Hypothetical
SAOUHSC_01582,bacteriophage integrase,DNA metabolism,DNA metabolism
SAOUHSC_01583,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_01584,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01585,respiratory response protein SrrB,Signal transduction,Signal transduction
SAOUHSC_01586,DNA-binding response regulator,Regulatory functions; Signal transduction,Regulatory
SAOUHSC_01587,ribosomal large subunit pseudouridine synthase B,Protein synthesis,Translation
SAOUHSC_01588,hypothetical protein,Cellular processes; DNA metabolism,Cellular processes
SAOUHSC_01589,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01590,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01591,integrase/recombinase XerD,DNA metabolism,DNA metabolism
SAOUHSC_01592,transcriptional regulator Fur,,Unknown/Hypothetical
SAOUHSC_01593,NUDIX domain-containing protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01594,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01595,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01596,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01597,pyrroline-5-carboxylate reductase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_01598,AtsA/ElaC family protein,Transcription,Transcription
SAOUHSC_01599,glucose-6-phosphate 1-dehydrogenase,Energy metabolism,Energy metabolism
SAOUHSC_01600,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01601,"alpha-D-1,4-glucosidase",,Unknown/Hypothetical
SAOUHSC_01602,maltose operon transcriptional repressor,Regulatory functions,Regulatory
SAOUHSC_01603,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01604,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01605,6-phosphogluconate dehydrogenase,Energy metabolism,Energy metabolism
SAOUHSC_01606,peptidase T,,Unknown/Hypothetical
SAOUHSC_01607,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01608,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01609,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01610,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01611,"2-oxoisovalerate dehydrogenase, E2 component, dihydrolipoamide acetyltransferase",,Unknown/Hypothetical
SAOUHSC_01612,"2-oxoisovalerate dehydrogenase, E1 component subunit beta","Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01613,"2-oxoisovalerate dehydrogenase, E1 component subunit alpha",Energy metabolism,Energy metabolism
SAOUHSC_01614,dihydrolipoamide dehydrogenase,,Unknown/Hypothetical
SAOUHSC_01615,DNA repair protein RecN,DNA metabolism,DNA metabolism
SAOUHSC_01617,arginine repressor,Amino acid biosynthesis; Regulatory functions,Amino acid metabolism
SAOUHSC_01618,geranyltranstransferase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01619,exodeoxyribonuclease VII small subunit,DNA metabolism,DNA metabolism
SAOUHSC_01620,exodeoxyribonuclease VII large subunit,DNA metabolism,DNA metabolism
SAOUHSC_01621,transcription antitermination protein NusB,Transcription,Transcription
SAOUHSC_01622,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01623,acetyl-CoA carboxylase biotin carboxylase subunit,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_01624,acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_01625,elongation factor P,Protein synthesis,Translation
SAOUHSC_01626,proline dipeptidase,Protein fate,Protein fate
SAOUHSC_01627,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01628,hypothetical protein,Protein fate,Protein fate
SAOUHSC_01629,hypothetical protein,Protein fate,Protein fate
SAOUHSC_01630,hypothetical protein,Protein synthesis,Translation
SAOUHSC_01632,glycine dehydrogenase subunit 2,Energy metabolism,Energy metabolism
SAOUHSC_01633,glycine dehydrogenase subunit 1,Energy metabolism,Energy metabolism
SAOUHSC_01634,glycine cleavage system aminomethyltransferase T,Energy metabolism,Energy metabolism
SAOUHSC_01635,shikimate kinase,,Unknown/Hypothetical
SAOUHSC_01636,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01637,competence protein ComGF,Cell envelope; Protein fate,Cell envelope
SAOUHSC_01638,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01639,hypothetical protein,Cell envelope,Cell envelope
SAOUHSC_01640,hypothetical protein,Cellular processes; Protein fate,Cellular processes
SAOUHSC_01641,hypothetical protein,Protein fate,Protein fate
SAOUHSC_01643,hypothetical protein,Cellular processes; Protein fate,Cellular processes
SAOUHSC_01644,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_01645,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01646,glucokinase,Unknown function,Unknown/Hypothetical
SAOUHSC_01647,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01649,,,Unknown/Hypothetical
SAOUHSC_01650,5-formyltetrahydrofolate cyclo-ligase,Central intermediary metabolism,Central metabolism
SAOUHSC_01651,50S ribosomal protein L33,Protein synthesis,Translation
SAOUHSC_01652,penicillin-binding protein 3,Cell envelope,Virulence
SAOUHSC_01653,superoxide dismutase,,Unknown/Hypothetical
SAOUHSC_01655,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01656,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_01657,ABC transporter,Transport and binding proteins,Transport
SAOUHSC_01658,endonuclease IV,DNA metabolism,DNA metabolism
SAOUHSC_01659,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_01660,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01661,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01662,RNA polymerase sigma factor RpoD,Transcription,Transcription
SAOUHSC_01663,DNA primase,DNA metabolism,DNA metabolism
SAOUHSC_01664,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01665,CBS domain-containing protein,Energy metabolism,Energy metabolism
SAOUHSC_01666,glycyl-tRNA synthetase,Protein synthesis,Translation
SAOUHSC_01667,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_01668,GTP-binding protein Era,Protein synthesis,Translation
SAOUHSC_01669,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01670,cytidine deaminase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01671,diacylglycerol kinase,,Unknown/Hypothetical
SAOUHSC_01672,hypothetical protein,Protein synthesis,Translation
SAOUHSC_01673,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_01675,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_01676,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_01677,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01678,30S ribosomal protein S21,Protein synthesis,Translation
SAOUHSC_01679,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01680,16S rRNA (uracil(1498)-N(3))-methyltransferase,Protein synthesis,Translation
SAOUHSC_01681,ribosomal protein L11 methyltransferase,Protein synthesis,Translation
SAOUHSC_01682,chaperone protein DnaJ,,Unknown/Hypothetical
SAOUHSC_01683,molecular chaperone DnaK,Protein fate,Protein fate
SAOUHSC_01684,heat shock protein GrpE,,Unknown/Hypothetical
SAOUHSC_01685,heat-inducible transcription repressor HrcA,Regulatory functions,Regulatory
SAOUHSC_01686,coproporphyrinogen III oxidase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01687,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01688,GTP-binding protein LepA,Unknown function,Unknown/Hypothetical
SAOUHSC_01689,30S ribosomal protein S20,Protein synthesis,Translation
SAOUHSC_01690,DNA polymerase III subunit delta,DNA metabolism,DNA metabolism
SAOUHSC_01691,DNA internalization-related competence protein ComEC/Rec2,Cellular processes,Cellular processes
SAOUHSC_01692,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01693,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_01694,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01695,hypothetical protein,Protein synthesis,Translation
SAOUHSC_01696,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01697,nicotinate (nicotinamide) nucleotide adenylyltransferase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01698,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01699,shikimate 5-dehydrogenase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_01700,GTP-binding protein YqeH,Protein synthesis,Translation
SAOUHSC_01701,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01702,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,"Central intermediary metabolism; Purines, pyrimidines, nucleosides, and nucleotides",Central metabolism
SAOUHSC_01703,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01704,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01705,enterotoxin family protein,,Virulence
SAOUHSC_01706,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01707,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01708,LamB/YcsF family protein,,Unknown/Hypothetical
SAOUHSC_01709,acetyl-CoA carboxylase biotin carboxylase,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_01710,acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_01711,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01712,hypothetical protein,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_01714,transcription elongation factor GreA,Transcription,Transcription
SAOUHSC_01715,uridine kinase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01716,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01717,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01718,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01719,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01720,Holliday junction resolvase-like protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01721,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01722,alanyl-tRNA synthetase,Protein synthesis,Translation
SAOUHSC_01723,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01724,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01727,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01728,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01729,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01730,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01732,,Unknown function,Unknown/Hypothetical
SAOUHSC_01733,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01734,recombination factor protein RarA,DNA metabolism,DNA metabolism
SAOUHSC_01735,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01736,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01737,aspartyl-tRNA synthetase,Protein synthesis,Virulence
SAOUHSC_01738,histidyl-tRNA synthetase,Protein synthesis,Translation
SAOUHSC_01739,hypothetical protein,Cell envelope; Cellular processes,Cell envelope
SAOUHSC_01741,D-tyrosyl-tRNA(Tyr) deacylase,Protein synthesis,Translation
SAOUHSC_01742,GTP pyrophosphokinase,Cellular processes,Cellular processes
SAOUHSC_01743,adenine phosphoribosyltransferase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01744,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_01746,bifunctional preprotein translocase subunit SecD/SecF,Protein fate,Protein fate
SAOUHSC_01747,preprotein translocase subunit YajC,Protein fate,Protein fate
SAOUHSC_01748,queuine tRNA-ribosyltransferase,Protein synthesis,Translation
SAOUHSC_01749,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,Protein synthesis,Translation
SAOUHSC_01750,Holliday junction DNA helicase RuvB,DNA metabolism,DNA metabolism
SAOUHSC_01751,Holliday junction DNA helicase RuvA,DNA metabolism,DNA metabolism
SAOUHSC_01752,hypothetical protein,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_01753,GTPase ObgE,Protein synthesis,Translation
SAOUHSC_01755,50S ribosomal protein L27,Protein synthesis,Translation
SAOUHSC_01756,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01757,50S ribosomal protein L21,Protein synthesis,Translation
SAOUHSC_01758,hypothetical protein,Cell envelope,Cell envelope
SAOUHSC_01759,rod shape-determining protein MreC,Cell envelope,Cell envelope
SAOUHSC_01760,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01761,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01761a,membrane protein,,Cell envelope
SAOUHSC_01762,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01763,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_01764,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01765,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01766,folylpolyglutamate synthase/dihydrofolate synthase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01767,valyl-tRNA synthetase,Protein synthesis,Translation
SAOUHSC_01768,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_01769,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01770,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01771,glutamate-1-semialdehyde aminotransferase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01772,delta-aminolevulinic acid dehydratase,,Unknown/Hypothetical
SAOUHSC_01773,uroporphyrinogen III synthase,,Unknown/Hypothetical
SAOUHSC_01774,porphobilinogen deaminase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01775,hypothetical protein,Energy metabolism; Protein fate,Energy metabolism
SAOUHSC_01776,glutamyl-tRNA reductase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01777,ribosome biogenesis GTP-binding protein YsxC,Protein synthesis,Translation
SAOUHSC_01778,ATP-dependent protease ATP-binding subunit ClpX,Protein fate,Virulence
SAOUHSC_01779,trigger factor,Protein fate,Protein fate
SAOUHSC_01780,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01781,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01782,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_01783,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01784,50S ribosomal protein L20,Protein synthesis,Translation
SAOUHSC_01785,50S ribosomal protein L35,Protein synthesis,Translation
SAOUHSC_01786,translation initiation factor IF-3,Protein synthesis,Translation
SAOUHSC_01787,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_01788,threonyl-tRNA synthetase,Protein synthesis,Translation
SAOUHSC_01789,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01791,primosomal protein DnaI,DNA metabolism,DNA metabolism
SAOUHSC_01792,hypothetical protein,DNA metabolism; Mobile and extrachromosomal element functions,DNA metabolism
SAOUHSC_01793,transcriptional regulator NrdR,Regulatory functions,Regulatory
SAOUHSC_01794,glyceraldehyde 3-phosphate dehydrogenase 2,Energy metabolism,Energy metabolism
SAOUHSC_01795,dephospho-CoA kinase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01796,formamidopyrimidine-DNA glycosylase,DNA metabolism,DNA metabolism
SAOUHSC_01797,DNA polymerase I,DNA metabolism,DNA metabolism
SAOUHSC_01798,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01799,histidine kinase,Signal transduction,Signal transduction
SAOUHSC_01800,alkaline phosphatase synthesis transcriptional regulatory protein,Regulatory functions; Signal transduction,Regulatory
SAOUHSC_A01723,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01801,isocitrate dehydrogenase,Energy metabolism,Energy metabolism
SAOUHSC_01802,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01803,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_01806,pyruvate kinase,Energy metabolism,Energy metabolism
SAOUHSC_01807,6-phosphofructokinase,Energy metabolism,Energy metabolism
SAOUHSC_01808,acetyl-CoA carboxylase carboxyltransferase subunit alpha,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_01809,acetyl-CoA carboxylase carboxyltransferase subunit beta,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_01810,NADP-dependent malic enzyme,,Unknown/Hypothetical
SAOUHSC_01811,DNA polymerase III subunit alpha superfamily protein,DNA metabolism,DNA metabolism
SAOUHSC_01812,hypothetical protein,Cell envelope,Cell envelope
SAOUHSC_01813,hypothetical protein,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01814,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01815,metal-dependent hydrolase,Cellular processes,Cellular processes
SAOUHSC_01816,hypothetical protein,Protein fate,Protein fate
SAOUHSC_01817,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01818,alanine dehydrogenase,Energy metabolism,Energy metabolism
SAOUHSC_01819,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_01820,acetate kinase,Energy metabolism,Energy metabolism
SAOUHSC_01821,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_01822,2-Cys peroxiredoxin,Cellular processes,Cellular processes
SAOUHSC_01823,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01824,thiamine biosynthesis protein ThiI,"Biosynthesis of cofactors, prosthetic groups, and carriers; Protein synthesis",Cofactor biosynthesis
SAOUHSC_01825,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01826,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01827,septation ring formation regulator EzrA,Cellular processes; DNA metabolism,Cellular processes
SAOUHSC_01828,GAF domain-containing protein,Central intermediary metabolism; Regulatory functions,Central metabolism
SAOUHSC_01829,30S ribosomal protein S4,Protein synthesis,Translation
SAOUHSC_A01754,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01830,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01831,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01832,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01833,D-3-phosphoglycerate dehydrogenase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_01834,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01835,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01836,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_01837,1-acyl-sn-glycerol-3-phosphate acyltransferase domain-containing protein,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_01838,hypothetical protein,Protein fate,Protein fate
SAOUHSC_01839,tyrosyl-tRNA synthetase,Protein synthesis,Translation
SAOUHSC_01840,transglycosylase domain-containing protein,Cell envelope,Cell envelope
SAOUHSC_01841,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01843,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01844,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01845,formate--tetrahydrofolate ligase,,Unknown/Hypothetical
SAOUHSC_01846,acetate--CoA ligase,,Unknown/Hypothetical
SAOUHSC_01847,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01849,acetoin utilization protein AcuC,,Virulence
SAOUHSC_01850,catabolite control protein A,Regulatory functions,Virulence
SAOUHSC_01851,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01852,bifunctional 3-deoxy-7-phosphoheptulonate synthase/chorismate mutase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_01853,hypothetical protein,,Unknown/Hypothetical
